key,city,country,latitude,longitude,comment,annotation
bsas,Buenos Aires,Argentina,-34.6083,-58.3712,,"Capital de las Provincias Unidas, desde la configuración del Virreinato del Río de la Plata en 1776, y sede del Directorio. En 1816, ejercía una fuerte presión centralista sobre el Congreso de Tucumán. Desde su puerto se mantenía el contacto con el exterior y la logística de los ejércitos."
lima,Perú,Perú,-12.0463,-77.0310,,"Centro del poder realista en América del Sur. En 1816, bajo el mando del Virrey Pezuela, representaba la principal amenaza militar para la independencia de las Provincias Unidas desde el Alto Perú."
tucuman,San Miguel de Tucumán,Argentina,-26.8306,-65.2044,,"Sede del Congreso General Constituyente. Elegida por su ubicación estratégica en el centro del territorio y para mitigar las tensiones entre Buenos Aires y las provincias. Aquí se firmó el Acta de Independencia el 9 de julio de 1816."
cordoba,Córdoba,Argentina,-31.4139,-64.1810,,"Provincia clave que envió diputados de peso al Congreso. Su posición central la hacía vital para las comunicaciones entre Buenos Aires, Cuyo y el Norte."
salta,Salta,Argentina,-24.7892,-65.4103,,"Baluarte de la frontera norte. En 1816, Martín Miguel de Güemes y sus gauchos sostenían la 'Guerra Guacha', frenando las invasiones realistas y protegiendo la retaguardia del Congreso de Tucumán."
jujuy,San Salvador de Jujuy,Argentina,-24.1852,-65.2994,,"Zona de guerra constante y paso obligado hacia el Alto Perú. Fue el escenario de los mayores sacrificios civiles, como el Éxodo Jujeño, para dejar 'tierra arrasada' al avance realista."
españa,Madrid,España,40.4167,-3.7037,,"Bajo el reinado de Fernando VII, quien tras recuperar el trono en 1814, pretendía restaurar el absolutismo y recuperar por la fuerza las colonias americanas, acelerando la urgencia de declarar la independencia."
riodelaplata,Río de la Plata,Argentina/Uruguay,-34.5000,-58.0000,,"El Virreinato del Río de la Plata conformado en 1776, al ser fragmentado el Virreinato del Perú. Contaba además con la parte fundamental como vía fluvial estratégica en disputa. En 1816, su control era vital para el comercio y estaba amenazado por la presencia de la flota española y la expansión portuguesa sobre la Banda Oriental."
santiagodechile,Santiago de Chile,Chile,-33.4489,-70.6693,,"En 1816 se encontraba bajo la 'Reconquista' española tras la derrota patriota en Rancagua. Desde Mendoza, el General San Martín organizaba el Ejército de los Andes para liberarla."
stafe,Santa Fe,Argentina,-31.6333,-60.7000,,"Integrante de la Liga de los Pueblos Libres bajo el mando de Artigas. No envió diputados al Congreso de Tucumán por sus profundas diferencias políticas con el centralismo de Buenos Aires."
corrientes,Corrientes,Argentina,-27.4691,-58.8306,,"Provincia aliada al sistema de Artigas. Al igual que Santa Fe y Entre Ríos, se mantuvo ausente en el Congreso de Tucumán en protesta por la política porteña."
montevideo,Montevideo,Uruguay,-34.9011,-56.1645,,"Ciudad puerto clave. En 1816 sufría la invasión luso-brasileña, un factor de preocupación constante para el Congreso de Tucumán por la posible pérdida definitiva de la Banda Oriental."
mendoza,Mendoza,Argentina,-32.8897,-68.8444,,"Cuna de la epopeya sanmartiniana. En 1816, San Martín era gobernador de Cuyo y desde aquí presionó activamente a los diputados de Tucumán para que declararan la independencia formal."
sanjuan,San Juan,Argentina,-31.5373,-68.5251,,"Parte de la Intendencia de Cuyo. Sus diputados (como Laprida, quien presidió la sesión del 9 de julio) fueron fundamentales en el impulso independentista de la región."
lujan,Luján,Argentina,-34.5641,-59.1171,,"Punto de tránsito vital en la ruta hacia el interior. En su santuario, las tropas y mensajeros solían pedir protección antes de cruzar la pampa hacia el Congreso o los frentes de batalla."
catamarca,San Fernando del Valle de Catamarca,Argentina,-28.4689,-65.7792,,"Provincia del noroeste que apoyó firmemente al Congreso. Envió diputados que participaron activamente en las deliberaciones sobre la forma de gobierno."
chichas,Chichas (Tupiza),Bolivia,-21.4424,-65.7192,,"La provincia de Chichas fue una antigua división administrativa de época colonial, ubicada en el sur del Alto Perú (actual Bolivia). Durante el período del Virreinato del Río de la Plata tuvo gran importancia estratégica y económica, principalmente por la minería y por su posición como zona de paso entre el Alto Perú y las regiones del noroeste argentino. A pesar de la ocupación realista, envió representantes al Congreso de Tucumán, demostrando la voluntad de unión de los territorios andinos."
santiagodelestero,Santiago del Estero,Argentina,-27.7834,-64.2642,,"La 'Madre de Ciudades' aportó sus representantes al Congreso, en medio de tensiones internas y autonomía frente a la jurisdicción de Tucumán."
charcas,Chuquisaca (Sucre),Bolivia,-19.0333,-65.2627,,"Sede de la prestigiosa Universidad de Chuquisaca donde se formaron muchos de los líderes revolucionarios. Sus diputados representaron el anhelo de libertad del Alto Perú en 1816."
charcas,Charcas,Argentina/Bolivia,-19.584,-65.754,,"La provincia de Charcas fue una histórica división territorial del Virreinato del Río de la Plata, que en el contexto de la independencia de los países sudamericanos, formó parte de los territorios de lo que hoy son Bolivia y parte del norte de Argentina. A nivel geográfico, la provincia de Charcas incluía una importante zona de recursos mineros, como las riquezas de Potosí, y funcionaba como un nexo entre los territorios del Río de la Plata y las áreas andinas."
mizque,Mizque,Bolivia,-17.9405,-65.3403,,"Provincia del Alto Perú (actual Bolivia) que envió como diputado al Dr. Pedro Ignacio Rivera. Su participación en el Congreso de Tucumán fue clave para legitimar la representación de los territorios andinos en la declaración de la independencia."
larioja,La Rioja,Argentina,-29.4131,-66.8558,,"Provincia que envió como diputado al presbítero Pedro Ignacio de Castro Barros, uno de los parlamentarios más influyentes y apasionados defensores de la independencia. Su participación fue crucial para consolidar el consenso entre las provincias del interior frente a la incertidumbre del período."